chief_complaint_raw,cc_stripped
severe self-harm with haemorrhage，worsening over hours,self-harm with haemorrhage
severe self-harm with haemorrhage with associated nausea,self-harm with haemorrhage with associated nausea
severe self-harm with haemorrhage with diaphoresis,self-harm with haemorrhage with diaphoresis
severe self-harm with haemorrhage with fever,self-harm with haemorrhage with fever
severe self-harm with haemorrhage with rigors,self-harm with haemorrhage with rigors
severe self-harm with haemorrhage with vomiting,self-harm with haemorrhage with vomiting
severe self-harm with rigors,self-harm with rigors
severe self-harm with vomiting,self-harm with vomiting
sepsis with altered mental status,sepsis with altered mental status
sepsis with altered mental status in known patient,sepsis with altered mental status
"sepsis with altered mental status, constant",sepsis with altered mental status
"sepsis with altered mental status, for 2 days",sepsis with altered mental status
"sepsis with altered mental status, intermittent",sepsis with altered mental status
"sepsis with altered mental status, no prior history of this",sepsis with altered mental status
"sepsis with altered mental status, onset today",sepsis with altered mental status
"sepsis with altered mental status, since yesterday",sepsis with altered mental status
"sepsis with altered mental status, worsening with movement",sepsis with altered mental status
sepsis with altered mental status，worsening over hours,sepsis with altered mental status
sepsis with altered mental status with associated nausea,sepsis with altered mental status with associated nausea
sepsis with altered mental status with diaphoresis,sepsis with altered mental status with diaphoresis
sepsis with altered mental status with fever,sepsis with altered mental status with fever
sepsis with altered mental status with rigors,sepsis with altered mental status with rigors
sepsis with altered mental status with vomiting,sepsis with altered mental status with vomiting
septic shock multi-organ failure,septic shock multi-organ failure
septic shock multi-organ failure in known patient,septic shock multi-organ failure
"septic shock multi-organ failure, constant",septic shock multi-organ failure
"septic shock multi-organ failure, for 2 days",septic shock multi-organ failure
"septic shock multi-organ failure, intermittent",septic shock multi-organ failure
"septic shock multi-organ failure, no prior history of this",septic shock multi-organ failure
"septic shock multi-organ failure, onset today",septic shock multi-organ failure
"septic shock multi-organ failure, since yesterday",septic shock multi-organ failure
"septic shock multi-organ failure, worsening with movement",septic shock multi-organ failure
septic shock multi-organ failure，worsening over hours,septic shock multi-organ failure
septic shock multi-organ failure with associated nausea,septic shock multi-organ failure with associated nausea
septic shock multi-organ failure with diaphoresis,septic shock multi-organ failure with diaphoresis
septic shock multi-organ failure with fever,septic shock multi-organ failure with fever
septic shock multi-organ failure with rigors,septic shock multi-organ failure with rigors
septic shock multi-organ failure with vomiting,septic shock multi-organ failure with vomiting
serious deliberate overdose,serious deliberate overdose
serious deliberate overdose in known patient,serious deliberate overdose
"serious deliberate overdose, constant",serious deliberate overdose
"serious deliberate overdose, for 2 days",serious deliberate overdose
"serious deliberate overdose, intermittent",serious deliberate overdose
"serious deliberate overdose, no prior history of this",serious deliberate overdose
"serious deliberate overdose, onset today",serious deliberate overdose
"serious deliberate overdose, since yesterday",serious deliberate overdose
"serious deliberate overdose, worsening with movement",serious deliberate overdose
serious deliberate overdose，worsening over hours,serious deliberate overdose
serious deliberate overdose with associated nausea,serious deliberate overdose with associated nausea
serious deliberate overdose with diaphoresis,serious deliberate overdose with diaphoresis
serious deliberate overdose with fever,serious deliberate overdose with fever
serious deliberate overdose with rigors,serious deliberate overdose with rigors
serious deliberate overdose with vomiting,serious deliberate overdose with vomiting
shingles with pain,shingles with pain
shingles with pain in known patient,shingles with pain
"shingles with pain, constant",shingles with pain
"shingles with pain, for 2 days",shingles with pain
"shingles with pain, intermittent",shingles with pain
"shingles with pain, no prior history of this",shingles with pain
"shingles with pain, onset today",shingles with pain
"shingles with pain, since yesterday",shingles with pain
"shingles with pain, worsening with movement",shingles with pain
shingles with pain，worsening over hours,shingles with pain
shingles with pain with associated nausea,shingles with pain with associated nausea
shingles with pain with diaphoresis,shingles with pain with diaphoresis
shingles with pain with fever,shingles with pain with fever
shingles with pain with rigors,shingles with pain with rigors
shingles with pain with vomiting,shingles with pain with vomiting
shoulder dislocation with vascular compromise,shoulder dislocation with vascular compromise
shoulder dislocation with vascular compromise in known patient,shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, constant",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, for 2 days",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, intermittent",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, no prior history of this",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, onset today",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, since yesterday",shoulder dislocation with vascular compromise
"shoulder dislocation with vascular compromise, worsening with movement",shoulder dislocation with vascular compromise
shoulder dislocation with vascular compromise，worsening over hours,shoulder dislocation with vascular compromise
shoulder dislocation with vascular compromise with associated nausea,shoulder dislocation with vascular compromise with associated nausea
shoulder dislocation with vascular compromise with diaphoresis,shoulder dislocation with vascular compromise with diaphoresis
shoulder dislocation with vascular compromise with fever,shoulder dislocation with vascular compromise with fever
shoulder dislocation with vascular compromise with rigors,shoulder dislocation with vascular compromise with rigors
shoulder dislocation with vascular compromise with vomiting,shoulder dislocation with vascular compromise with vomiting
shoulder pain chronic flare,shoulder pain chronic flare
shoulder pain chronic flare in known patient,shoulder pain chronic flare
"shoulder pain chronic flare, constant",shoulder pain chronic flare
"shoulder pain chronic flare, for 2 days",shoulder pain chronic flare
"shoulder pain chronic flare, intermittent",shoulder pain chronic flare
"shoulder pain chronic flare, no prior history of this",shoulder pain chronic flare
"shoulder pain chronic flare, onset today",shoulder pain chronic flare
"shoulder pain chronic flare, since yesterday",shoulder pain chronic flare
"shoulder pain chronic flare, worsening with movement",shoulder pain chronic flare
shoulder pain chronic flare，worsening over hours,shoulder pain chronic flare
shoulder pain chronic flare with associated nausea,shoulder pain chronic flare with associated nausea
shoulder pain chronic flare with diaphoresis,shoulder pain chronic flare with diaphoresis
shoulder pain chronic flare with fever,shoulder pain chronic flare with fever
shoulder pain chronic flare with rigors,shoulder pain chronic flare with rigors
shoulder pain chronic flare with vomiting,shoulder pain chronic flare with vomiting
significant blunt thoracic trauma,significant blunt thoracic trauma
significant blunt thoracic trauma in known patient,significant blunt thoracic trauma
"significant blunt thoracic trauma, constant",significant blunt thoracic trauma
"significant blunt thoracic trauma, for 2 days",significant blunt thoracic trauma
"significant blunt thoracic trauma, intermittent",significant blunt thoracic trauma
"significant blunt thoracic trauma, no prior history of this",significant blunt thoracic trauma
"significant blunt thoracic trauma, onset today",significant blunt thoracic trauma
"significant blunt thoracic trauma, since yesterday",significant blunt thoracic trauma
"significant blunt thoracic trauma, worsening with movement",significant blunt thoracic trauma
significant blunt thoracic trauma，worsening over hours,significant blunt thoracic trauma
significant blunt thoracic trauma with associated nausea,significant blunt thoracic trauma with associated nausea
significant blunt thoracic trauma with diaphoresis,significant blunt thoracic trauma with diaphoresis
significant blunt thoracic trauma with fever,significant blunt thoracic trauma with fever
significant blunt thoracic trauma with rigors,significant blunt thoracic trauma with rigors
significant blunt thoracic trauma with vomiting,significant blunt thoracic trauma with vomiting
significant epistaxis requiring intervention,significant epistaxis requiring intervention
significant epistaxis requiring intervention in known patient,significant epistaxis requiring intervention
"significant epistaxis requiring intervention, constant",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, for 2 days",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, intermittent",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, no prior history of this",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, onset today",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, since yesterday",significant epistaxis requiring intervention
"significant epistaxis requiring intervention, worsening with movement",significant epistaxis requiring intervention
significant epistaxis requiring intervention，worsening over hours,significant epistaxis requiring intervention
significant epistaxis requiring intervention with associated nausea,significant epistaxis requiring intervention with associated nausea
significant epistaxis requiring intervention with diaphoresis,significant epistaxis requiring intervention with diaphoresis
significant epistaxis requiring intervention with fever,significant epistaxis requiring intervention with fever
significant epistaxis requiring intervention with rigors,significant epistaxis requiring intervention with rigors
significant epistaxis requiring intervention with vomiting,significant epistaxis requiring intervention with vomiting
significant head injury with LOC,significant head injury with LOC
significant head injury with LOC in known patient,significant head injury with LOC
"significant head injury with LOC, constant",significant head injury with LOC
"significant head injury with LOC, for 2 days",significant head injury with LOC
"significant head injury with LOC, intermittent",significant head injury with LOC
"significant head injury with LOC, no prior history of this",significant head injury with LOC
"significant head injury with LOC, onset today",significant head injury with LOC
"significant head injury with LOC, since yesterday",significant head injury with LOC
"significant head injury with LOC, worsening with movement",significant head injury with LOC
significant head injury with LOC，worsening over hours,significant head injury with LOC
significant head injury with LOC with associated nausea,significant head injury with LOC with associated nausea
significant head injury with LOC with diaphoresis,significant head injury with LOC with diaphoresis
significant head injury with LOC with fever,significant head injury with LOC with fever
significant head injury with LOC with rigors,significant head injury with LOC with rigors
significant head injury with LOC with vomiting,significant head injury with LOC with vomiting
significant self-neglect with medical complications,significant self-neglect with medical complications
significant self-neglect with medical complications in known patient,significant self-neglect with medical complications
"significant self-neglect with medical complications, constant",significant self-neglect with medical complications
"significant self-neglect with medical complications, for 2 days",significant self-neglect with medical complications
"significant self-neglect with medical complications, intermittent",significant self-neglect with medical complications
"significant self-neglect with medical complications, no prior history of this",significant self-neglect with medical complications
"significant self-neglect with medical complications, onset today",significant self-neglect with medical complications
"significant self-neglect with medical complications, since yesterday",significant self-neglect with medical complications
"significant self-neglect with medical complications, worsening with movement",significant self-neglect with medical complications
significant self-neglect with medical complications，worsening over hours,significant self-neglect with medical complications
significant self-neglect with medical complications with associated nausea,significant self-neglect with medical complications with associated nausea
significant self-neglect with medical complications with diaphoresis,significant self-neglect with medical complications with diaphoresis
significant self-neglect with medical complications with fever,significant self-neglect with medical complications with fever
significant self-neglect with medical complications with rigors,significant self-neglect with medical complications with rigors
significant self-neglect with medical complications with vomiting,significant self-neglect with medical complications with vomiting
sinusitis severe,sinusitis
sinusitis severe in known patient,sinusitis
"sinusitis severe, constant",sinusitis
"sinusitis severe, for 2 days",sinusitis
"sinusitis severe, intermittent",sinusitis
"sinusitis severe, no prior history of this",sinusitis
"sinusitis severe, onset today",sinusitis
"sinusitis severe, since yesterday",sinusitis
"sinusitis severe, worsening with movement",sinusitis
sinusitis severe，worsening over hours,sinusitis
sinusitis severe with associated nausea,sinusitis  with associated nausea
sinusitis severe with diaphoresis,sinusitis  with diaphoresis
sinusitis severe with fever,sinusitis  with fever
sinusitis severe with rigors,sinusitis  with rigors
sinusitis severe with vomiting,sinusitis  with vomiting
minor skin rash,skin rash
minor skin rash in known patient,skin rash
"minor skin rash, constant",skin rash
"minor skin rash, for 2 days",skin rash
"minor skin rash, intermittent",skin rash
"minor skin rash, no prior history of this",skin rash
"minor skin rash, onset today",skin rash
"minor skin rash, since yesterday",skin rash
"minor skin rash, worsening with movement",skin rash
minor skin rash，worsening over hours,skin rash
minor skin rash with associated nausea,skin rash with associated nausea
minor skin rash with diaphoresis,skin rash with diaphoresis
minor skin rash with fever,skin rash with fever
minor skin rash with rigors,skin rash with rigors
minor skin rash with vomiting,skin rash with vomiting
skin tag removal request,skin tag removal request
skin tag removal request in known patient,skin tag removal request
"skin tag removal request, constant",skin tag removal request
"skin tag removal request, for 2 days",skin tag removal request
"skin tag removal request, intermittent",skin tag removal request
"skin tag removal request, no prior history of this",skin tag removal request
"skin tag removal request, onset today",skin tag removal request
"skin tag removal request, since yesterday",skin tag removal request
"skin tag removal request, worsening with movement",skin tag removal request
skin tag removal request，worsening over hours,skin tag removal request
skin tag removal request with associated nausea,skin tag removal request with associated nausea
skin tag removal request with diaphoresis,skin tag removal request with diaphoresis
skin tag removal request with fever,skin tag removal request with fever
skin tag removal request with rigors,skin tag removal request with rigors
skin tag removal request with vomiting,skin tag removal request with vomiting
sleep hygiene advice,sleep hygiene advice
sleep hygiene advice in known patient,sleep hygiene advice
"sleep hygiene advice, constant",sleep hygiene advice
"sleep hygiene advice, for 2 days",sleep hygiene advice
"sleep hygiene advice, intermittent",sleep hygiene advice
"sleep hygiene advice, no prior history of this",sleep hygiene advice
"sleep hygiene advice, onset today",sleep hygiene advice
"sleep hygiene advice, since yesterday",sleep hygiene advice
"sleep hygiene advice, worsening with movement",sleep hygiene advice
sleep hygiene advice，worsening over hours,sleep hygiene advice
sleep hygiene advice with associated nausea,sleep hygiene advice with associated nausea
sleep hygiene advice with diaphoresis,sleep hygiene advice with diaphoresis
sleep hygiene advice with fever,sleep hygiene advice with fever
sleep hygiene advice with rigors,sleep hygiene advice with rigors
sleep hygiene advice with vomiting,sleep hygiene advice with vomiting
small cut wound check,small cut wound check
small cut wound check in known patient,small cut wound check
"small cut wound check, constant",small cut wound check
"small cut wound check, for 2 days",small cut wound check
"small cut wound check, intermittent",small cut wound check
"small cut wound check, no prior history of this",small cut wound check
"small cut wound check, onset today",small cut wound check
"small cut wound check, since yesterday",small cut wound check
"small cut wound check, worsening with movement",small cut wound check
small cut wound check，worsening over hours,small cut wound check
small cut wound check with associated nausea,small cut wound check with associated nausea
small cut wound check with diaphoresis,small cut wound check with diaphoresis
small cut wound check with fever,small cut wound check with fever
small cut wound check with rigors,small cut wound check with rigors
small cut wound check with vomiting,small cut wound check with vomiting
small infected wound,small infected wound
small infected wound in known patient,small infected wound
"small infected wound, constant",small infected wound
"small infected wound, for 2 days",small infected wound
"small infected wound, intermittent",small infected wound
"small infected wound, no prior history of this",small infected wound
"small infected wound, onset today",small infected wound
"small infected wound, since yesterday",small infected wound
"small infected wound, worsening with movement",small infected wound
small infected wound，worsening over hours,small infected wound
small infected wound with associated nausea,small infected wound with associated nausea
small infected wound with diaphoresis,small infected wound with diaphoresis
small infected wound with fever,small infected wound with fever
small infected wound with rigors,small infected wound with rigors
small infected wound with vomiting,small infected wound with vomiting
social admission query,social admission query
social admission query in known patient,social admission query
"social admission query, constant",social admission query
"social admission query, for 2 days",social admission query
"social admission query, intermittent",social admission query
"social admission query, no prior history of this",social admission query
"social admission query, onset today",social admission query
"social admission query, since yesterday",social admission query
"social admission query, worsening with movement",social admission query
social admission query，worsening over hours,social admission query
social admission query with associated nausea,social admission query with associated nausea
social admission query with diaphoresis,social admission query with diaphoresis
social admission query with fever,social admission query with fever
social admission query with rigors,social admission query with rigors
social admission query with vomiting,social admission query with vomiting
mild sore throat,sore throat
mild sore throat in known patient,sore throat
"mild sore throat, constant",sore throat
"mild sore throat, for 2 days",sore throat
"mild sore throat, intermittent",sore throat
"mild sore throat, no prior history of this",sore throat
"mild sore throat, onset today",sore throat
"mild sore throat, since yesterday",sore throat
"mild sore throat, worsening with movement",sore throat
mild sore throat，worsening over hours,sore throat
sore throat moderate,sore throat
sore throat moderate in known patient,sore throat
"sore throat moderate, constant",sore throat
"sore throat moderate, for 2 days",sore throat
"sore throat moderate, intermittent",sore throat
"sore throat moderate, no prior history of this",sore throat
"sore throat moderate, onset today",sore throat
"sore throat moderate, since yesterday",sore throat
"sore throat moderate, worsening with movement",sore throat
sore throat moderate，worsening over hours,sore throat
sore throat moderate with associated nausea,sore throat  with associated nausea
sore throat moderate with diaphoresis,sore throat  with diaphoresis
sore throat moderate with fever,sore throat  with fever
sore throat moderate with rigors,sore throat  with rigors
sore throat moderate with vomiting,sore throat  with vomiting
mild sore throat with associated nausea,sore throat with associated nausea
mild sore throat with diaphoresis,sore throat with diaphoresis
mild sore throat with fever,sore throat with fever
mild sore throat with rigors,sore throat with rigors
mild sore throat with vomiting,sore throat with vomiting
spinal cord injury with deficit,spinal cord injury with deficit
spinal cord injury with deficit in known patient,spinal cord injury with deficit
"spinal cord injury with deficit, constant",spinal cord injury with deficit
"spinal cord injury with deficit, for 2 days",spinal cord injury with deficit
"spinal cord injury with deficit, intermittent",spinal cord injury with deficit
"spinal cord injury with deficit, no prior history of this",spinal cord injury with deficit
"spinal cord injury with deficit, onset today",spinal cord injury with deficit
"spinal cord injury with deficit, since yesterday",spinal cord injury with deficit
"spinal cord injury with deficit, worsening with movement",spinal cord injury with deficit
spinal cord injury with deficit，worsening over hours,spinal cord injury with deficit
spinal cord injury with deficit with associated nausea,spinal cord injury with deficit with associated nausea
spinal cord injury with deficit with diaphoresis,spinal cord injury with deficit with diaphoresis
spinal cord injury with deficit with fever,spinal cord injury with deficit with fever
spinal cord injury with deficit with rigors,spinal cord injury with deficit with rigors
spinal cord injury with deficit with vomiting,spinal cord injury with deficit with vomiting
splinter removal,splinter removal
splinter removal in known patient,splinter removal
"splinter removal, constant",splinter removal
"splinter removal, for 2 days",splinter removal
"splinter removal, intermittent",splinter removal
"splinter removal, no prior history of this",splinter removal
"splinter removal, onset today",splinter removal
"splinter removal, since yesterday",splinter removal
"splinter removal, worsening with movement",splinter removal
splinter removal，worsening over hours,splinter removal
splinter removal with associated nausea,splinter removal with associated nausea
splinter removal with diaphoresis,splinter removal with diaphoresis
splinter removal with fever,splinter removal with fever
splinter removal with rigors,splinter removal with rigors
splinter removal with vomiting,splinter removal with vomiting
spreading wound infection,spreading wound infection
spreading wound infection in known patient,spreading wound infection
"spreading wound infection, constant",spreading wound infection
"spreading wound infection, for 2 days",spreading wound infection
"spreading wound infection, intermittent",spreading wound infection
"spreading wound infection, no prior history of this",spreading wound infection
"spreading wound infection, onset today",spreading wound infection
"spreading wound infection, since yesterday",spreading wound infection
"spreading wound infection, worsening with movement",spreading wound infection
spreading wound infection，worsening over hours,spreading wound infection
spreading wound infection with associated nausea,spreading wound infection with associated nausea
spreading wound infection with diaphoresis,spreading wound infection with diaphoresis
spreading wound infection with fever,spreading wound infection with fever
spreading wound infection with rigors,spreading wound infection with rigors
spreading wound infection with vomiting,spreading wound infection with vomiting
stab wound abdomen stable,stab wound abdomen stable
stab wound abdomen stable in known patient,stab wound abdomen stable
"stab wound abdomen stable, constant",stab wound abdomen stable
"stab wound abdomen stable, for 2 days",stab wound abdomen stable
"stab wound abdomen stable, intermittent",stab wound abdomen stable
"stab wound abdomen stable, no prior history of this",stab wound abdomen stable
"stab wound abdomen stable, onset today",stab wound abdomen stable
"stab wound abdomen stable, since yesterday",stab wound abdomen stable
"stab wound abdomen stable, worsening with movement",stab wound abdomen stable
stab wound abdomen stable，worsening over hours,stab wound abdomen stable
stab wound abdomen stable with associated nausea,stab wound abdomen stable with associated nausea
stab wound abdomen stable with diaphoresis,stab wound abdomen stable with diaphoresis
stab wound abdomen stable with fever,stab wound abdomen stable with fever
stab wound abdomen stable with rigors,stab wound abdomen stable with rigors
stab wound abdomen stable with vomiting,stab wound abdomen stable with vomiting
stable palpitations,stable palpitations
stable palpitations in known patient,stable palpitations
"stable palpitations, constant",stable palpitations
"stable palpitations, for 2 days",stable palpitations
"stable palpitations, intermittent",stable palpitations
"stable palpitations, no prior history of this",stable palpitations
"stable palpitations, onset today",stable palpitations
"stable palpitations, since yesterday",stable palpitations
"stable palpitations, worsening with movement",stable palpitations
stable palpitations，worsening over hours,stable palpitations
stable palpitations with associated nausea,stable palpitations with associated nausea
stable palpitations with diaphoresis,stable palpitations with diaphoresis
stable palpitations with fever,stable palpitations with fever
stable palpitations with rigors,stable palpitations with rigors
stable palpitations with vomiting,stable palpitations with vomiting
status asthmaticus unresponsive to treatment,status asthmaticus unresponsive to treatment
status asthmaticus unresponsive to treatment in known patient,status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, for 2 days",status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, intermittent",status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, no prior history of this",status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, onset today",status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, since yesterday",status asthmaticus unresponsive to treatment
"status asthmaticus unresponsive to treatment, worsening with movement",status asthmaticus unresponsive to treatment
status asthmaticus unresponsive to treatment，worsening over hours,status asthmaticus unresponsive to treatment
status asthmaticus unresponsive to treatment with associated nausea,status asthmaticus unresponsive to treatment with associated nausea
status asthmaticus unresponsive to treatment with diaphoresis,status asthmaticus unresponsive to treatment with diaphoresis
status asthmaticus unresponsive to treatment with fever,status asthmaticus unresponsive to treatment with fever
status asthmaticus unresponsive to treatment with rigors,status asthmaticus unresponsive to treatment with rigors
status asthmaticus unresponsive to treatment with vomiting,status asthmaticus unresponsive to treatment with vomiting
status epilepticus refractory,status epilepticus refractory
status epilepticus refractory in known patient,status epilepticus refractory
"status epilepticus refractory, constant",status epilepticus refractory
"status epilepticus refractory, for 2 days",status epilepticus refractory
"status epilepticus refractory, intermittent",status epilepticus refractory
"status epilepticus refractory, no prior history of this",status epilepticus refractory
"status epilepticus refractory, onset today",status epilepticus refractory
"status epilepticus refractory, since yesterday",status epilepticus refractory
"status epilepticus refractory, worsening with movement",status epilepticus refractory
status epilepticus refractory，worsening over hours,status epilepticus refractory
status epilepticus refractory with associated nausea,status epilepticus refractory with associated nausea
status epilepticus refractory with fever,status epilepticus refractory with fever
status epilepticus refractory with rigors,status epilepticus refractory with rigors
status epilepticus refractory with vomiting,status epilepticus refractory with vomiting
substance intoxication,substance intoxication
substance intoxication in known patient,substance intoxication
"substance intoxication, constant",substance intoxication
"substance intoxication, for 2 days",substance intoxication
"substance intoxication, intermittent",substance intoxication
"substance intoxication, no prior history of this",substance intoxication
"substance intoxication, onset today",substance intoxication
"substance intoxication, since yesterday",substance intoxication
"substance intoxication, worsening with movement",substance intoxication
substance intoxication，worsening over hours,substance intoxication
substance intoxication with associated nausea,substance intoxication with associated nausea
substance intoxication with diaphoresis,substance intoxication with diaphoresis
substance intoxication with fever,substance intoxication with fever
substance intoxication with rigors,substance intoxication with rigors
substance intoxication with vomiting,substance intoxication with vomiting
sudden loss of vision,sudden loss of vision
sudden loss of vision in known patient,sudden loss of vision
"sudden loss of vision, constant",sudden loss of vision
"sudden loss of vision, for 2 days",sudden loss of vision
"sudden loss of vision, intermittent",sudden loss of vision
"sudden loss of vision, no prior history of this",sudden loss of vision
"sudden loss of vision, onset today",sudden loss of vision
"sudden loss of vision, since yesterday",sudden loss of vision
"sudden loss of vision, worsening with movement",sudden loss of vision
sudden loss of vision，worsening over hours,sudden loss of vision
sudden loss of vision with associated nausea,sudden loss of vision with associated nausea
sudden loss of vision with diaphoresis,sudden loss of vision with diaphoresis
sudden loss of vision with fever,sudden loss of vision with fever
sudden loss of vision with rigors,sudden loss of vision with rigors
sudden loss of vision with vomiting,sudden loss of vision with vomiting
sudden visual blurring,sudden visual blurring
sudden visual blurring in known patient,sudden visual blurring
"sudden visual blurring, constant",sudden visual blurring
"sudden visual blurring, for 2 days",sudden visual blurring
"sudden visual blurring, intermittent",sudden visual blurring
"sudden visual blurring, no prior history of this",sudden visual blurring
"sudden visual blurring, onset today",sudden visual blurring
"sudden visual blurring, since yesterday",sudden visual blurring
"sudden visual blurring, worsening with movement",sudden visual blurring
sudden visual blurring，worsening over hours,sudden visual blurring
sudden visual blurring with associated nausea,sudden visual blurring with associated nausea
sudden visual blurring with diaphoresis,sudden visual blurring with diaphoresis
sudden visual blurring with fever,sudden visual blurring with fever
sudden visual blurring with rigors,sudden visual blurring with rigors
sudden visual blurring with vomiting,sudden visual blurring with vomiting
suicidal ideation with plan and intent,suicidal ideation with plan and intent
suicidal ideation with plan and intent in known patient,suicidal ideation with plan and intent
"suicidal ideation with plan and intent, constant",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, for 2 days",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, intermittent",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, no prior history of this",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, onset today",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, since yesterday",suicidal ideation with plan and intent
"suicidal ideation with plan and intent, worsening with movement",suicidal ideation with plan and intent
suicidal ideation with plan and intent，worsening over hours,suicidal ideation with plan and intent
suicidal ideation with plan and intent with associated nausea,suicidal ideation with plan and intent with associated nausea
suicidal ideation with plan and intent with diaphoresis,suicidal ideation with plan and intent with diaphoresis
suicidal ideation with plan and intent with fever,suicidal ideation with plan and intent with fever
suicidal ideation with plan and intent with rigors,suicidal ideation with plan and intent with rigors
suicidal ideation with plan and intent with vomiting,suicidal ideation with plan and intent with vomiting
suicidal ideation without plan,suicidal ideation without plan
suicidal ideation without plan in known patient,suicidal ideation without plan
"suicidal ideation without plan, constant",suicidal ideation without plan
"suicidal ideation without plan, for 2 days",suicidal ideation without plan
"suicidal ideation without plan, intermittent",suicidal ideation without plan
"suicidal ideation without plan, no prior history of this",suicidal ideation without plan
"suicidal ideation without plan, onset today",suicidal ideation without plan
"suicidal ideation without plan, since yesterday",suicidal ideation without plan
"suicidal ideation without plan, worsening with movement",suicidal ideation without plan
suicidal ideation without plan，worsening over hours,suicidal ideation without plan
suicidal ideation without plan with associated nausea,suicidal ideation without plan with associated nausea
suicidal ideation without plan with diaphoresis,suicidal ideation without plan with diaphoresis
suicidal ideation without plan with fever,suicidal ideation without plan with fever
suicidal ideation without plan with rigors,suicidal ideation without plan with rigors
suicidal ideation without plan with vomiting,suicidal ideation without plan with vomiting
minor sunburn,sunburn
minor sunburn in known patient,sunburn
"minor sunburn, constant",sunburn
"minor sunburn, for 2 days",sunburn
"minor sunburn, intermittent",sunburn
"minor sunburn, no prior history of this",sunburn
"minor sunburn, onset today",sunburn
"minor sunburn, since yesterday",sunburn
"minor sunburn, worsening with movement",sunburn
minor sunburn，worsening over hours,sunburn
minor sunburn with associated nausea,sunburn with associated nausea
minor sunburn with diaphoresis,sunburn with diaphoresis
minor sunburn with fever,sunburn with fever
minor sunburn with rigors,sunburn with rigors
minor sunburn with vomiting,sunburn with vomiting
superficial laceration,superficial laceration
superficial laceration in known patient,superficial laceration
"superficial laceration, constant",superficial laceration
"superficial laceration, for 2 days",superficial laceration
"superficial laceration, intermittent",superficial laceration
"superficial laceration, no prior history of this",superficial laceration
"superficial laceration, onset today",superficial laceration
"superficial laceration, since yesterday",superficial laceration
"superficial laceration, worsening with movement",superficial laceration
superficial laceration，worsening over hours,superficial laceration
superficial laceration with associated nausea,superficial laceration with associated nausea
superficial laceration with diaphoresis,superficial laceration with diaphoresis
superficial laceration with fever,superficial laceration with fever
superficial laceration with rigors,superficial laceration with rigors
superficial laceration with vomiting,superficial laceration with vomiting
suspected dengue fever,suspected dengue fever
suspected dengue fever in known patient,suspected dengue fever
"suspected dengue fever, constant",suspected dengue fever
"suspected dengue fever, for 2 days",suspected dengue fever
"suspected dengue fever, intermittent",suspected dengue fever
"suspected dengue fever, no prior history of this",suspected dengue fever
"suspected dengue fever, onset today",suspected dengue fever
"suspected dengue fever, since yesterday",suspected dengue fever
"suspected dengue fever, worsening with movement",suspected dengue fever
suspected dengue fever，worsening over hours,suspected dengue fever
suspected dengue fever with associated nausea,suspected dengue fever with associated nausea
suspected dengue fever with diaphoresis,suspected dengue fever with diaphoresis
suspected dengue fever with fever,suspected dengue fever with fever
suspected dengue fever with rigors,suspected dengue fever with rigors
suspected dengue fever with vomiting,suspected dengue fever with vomiting
suspected rib fracture,suspected rib fracture
suspected rib fracture in known patient,suspected rib fracture
"suspected rib fracture, constant",suspected rib fracture
"suspected rib fracture, for 2 days",suspected rib fracture
"suspected rib fracture, intermittent",suspected rib fracture
"suspected rib fracture, no prior history of this",suspected rib fracture
"suspected rib fracture, onset today",suspected rib fracture
"suspected rib fracture, since yesterday",suspected rib fracture
"suspected rib fracture, worsening with movement",suspected rib fracture
suspected rib fracture，worsening over hours,suspected rib fracture
suspected rib fracture with associated nausea,suspected rib fracture with associated nausea
suspected rib fracture with diaphoresis,suspected rib fracture with diaphoresis
suspected rib fracture with fever,suspected rib fracture with fever
suspected rib fracture with rigors,suspected rib fracture with rigors
suspected rib fracture with vomiting,suspected rib fracture with vomiting
suture removal request,suture removal request
suture removal request in known patient,suture removal request
"suture removal request, constant",suture removal request
"suture removal request, for 2 days",suture removal request
"suture removal request, intermittent",suture removal request
"suture removal request, no prior history of this",suture removal request
"suture removal request, onset today",suture removal request
